#time X Y Z
2015-03-10_13:26:50 3.5033168462319806E7 1.5188977346994441E7 -1.4338502744343188E8
2015-03-15_02:56:50 2.4485080834437504E7 1.061536158044644E7 -1.4614434610816935E8
2015-03-19_16:26:50 1.3780184261736864E7 5974007.741690385 -1.4798814482657233E8
2015-03-24_05:56:50 2984892.727347155 1293957.2984940792 -1.4890295168387207E8
2015-03-28_19:26:50 -7830550.181950532 -3394642.960418297 -1.4888457440574902E8
2015-04-02_09:56:50 -1.859357110818595E7 -8060855.393776527 -1.4793790857744586E8
2015-04-06_23:26:50 -2.933378434265437E7 -1.2717625042840244E7 -1.4605509737107584E8
2015-04-11_12:56:50 -3.979478418368695E7 -1.72534886678587E7 -1.4328937123574945E8
2015-04-16_02:26:50 -5.001418768645207E7 -2.168434695936443E7 -1.3964558092192155E8
2015-04-20_15:56:50 -5.993217758886169E7 -2.598403670127997E7 -1.351469746293151E8
2015-04-25_05:26:50 -6.948581927056152E7 -3.012558283519654E7 -1.2981963034771469E8
2015-04-29_18:56:50 -7.86137957376714E7 -3.408292268796508E7 -1.2370001135414681E8
2015-05-04_08:26:50 -8.726229317122036E7 -3.783282341125723E7 -1.1683496421201678E8
2015-05-08_21:56:50 -9.538399313453464E7 -4.135446934000382E7 -1.092698247213126E8
2015-05-13_11:26:50 -1.0293585555736046E8 -4.46287925637459E7 -1.0104994506625089E8
2015-05-18_00:56:50 -1.098755969161017E8 -4.7637253181816876E7 -9.222484534163156E7
2015-05-22_14:26:50 -1.1616035614531012E8 -5.0361580635091364E7 -8.284429738979717E7
2015-05-27_03:56:50 -1.2175011394996601E8 -5.2784925861949E7 -7.29662384137031E7
2015-05-31_17:26:50 -1.2661319000274478E8 -5.489364341736644E7 -6.265847964999604E7
2015-06-05_06:56:50 -1.3072590390330972E8 -5.667716330905723E7 -5.198400439015091E7
2015-06-09_20:26:50 -1.3406944335960925E8 -5.812692531145808E7 -4.100370313498798E7
2015-06-14_09:56:50 -1.366268000370826E8 -5.9235373642156035E7 -2.9781826230306104E7
2015-06-18_23:26:50 -1.383807590853257E8 -5.999537155644302E7 -1.8379722572539847E7
2015-06-23_12:56:50 -1.3931758972527343E8 -6.04014440491935E7 -6864916.178265327
2015-06-28_02:26:50 -1.394328719353362E8 -6.045174023523367E7 4686409.614504135
2015-07-02_15:56:50 -1.3872983191772553E8 -6.0147351947040714E7 1.620593931163773E7
2015-07-07_05:26:50 -1.372164850481363E8 -5.949135524814508E7 2.7629372723032437E7
2015-07-11_18:56:50 -1.349038362941043E8 -5.848836302308782E7 3.889058095120578E7
2015-07-16_08:26:50 -1.3180088119037338E8 -5.714263020074332E7 4.993077006641119E7
2015-07-20_21:56:50 -1.2792222030676883E8 -5.546095293528932E7 6.06791882435863E7
2015-07-25_11:26:50 -1.2328966493685563E8 -5.34528196733035E7 7.106985523164171E7
2015-07-30_00:56:50 -1.1793242563832785E8 -5.113057737685433E7 8.104088916111869E7
2015-08-03_14:26:50 -1.1188608682099062E8 -4.850925907497872E7 9.053101738448079E7
2015-08-08_03:56:50 -1.0518589372155832E8 -4.560400188854746E7 9.949009886681856E7
2015-08-12_17:26:50 -9.78655671021886E7 -4.242980919891381E7 1.0786941112533961E8
