#time X Y Z
2014-05-25_20:24:50 -335675.03177405975 -143087.8216437091 1509556.9278292258
2014-05-28_11:37:18 -327163.8090868247 -153756.30647284834 1519036.114279127
2014-05-31_03:13:11 -315861.5207446586 -163263.42395347543 1529873.3345135278
2014-06-02_19:15:31 -302503.81206077663 -171491.56972698795 1541802.158684578
2014-06-05_11:47:11 -287651.0473316815 -178368.95190366893 1554288.3949310477
2014-06-08_04:40:02 -271682.34566305496 -183853.4061606453 1566584.433840403
2014-06-10_21:49:56 -254666.07689391932 -187962.20866381063 1577822.3660034926
2014-06-13_15:13:16 -236226.39856163785 -190752.48035465486 1587146.735520202
2014-06-16_08:52:27 -215515.41515835383 -192285.74499187892 1594137.4892428129
2014-06-19_02:50:12 -191675.4196830426 -192564.10103381696 1599155.3119076262
2014-06-21_20:57:09 -164497.21106221495 -191516.21078801932 1603077.1806423008
2014-06-24_15:06:56 -134466.61245258438 -189048.87608048838 1606751.1995974833
2014-06-27_09:33:42 -102357.88202738661 -185074.74684950398 1610688.2373565529
2014-06-30_04:00:29 -69353.30779587486 -179584.59849174385 1614951.8636976539
2014-07-02_22:27:16 -36446.484511926195 -172621.0257114235 1619263.7147512527
2014-07-05_16:36:29 -4577.655804955772 -164319.343845932 1623066.5290586127
2014-07-08_00:57:53 21470.33841746208 -156271.85095281564 1625364.6402704543
2014-07-10_18:58:34 50583.81773664574 -145849.25482615852 1626169.281388896
2014-07-13_13:08:38 78691.54369233616 -134476.32978389531 1624193.548545932
2014-07-16_07:18:41 106612.44645369923 -122280.06983815688 1619320.1030562196
2014-07-19_01:28:45 135013.36876636714 -109280.81390480921 1612292.1474636847
2014-07-21_19:20:07 163731.68502812632 -95531.25945221265 1604202.762517619
2014-07-24_12:46:33 192134.29577326812 -81076.34990685956 1595928.1425588196
2014-07-27_06:12:59 219544.9305977967 -65889.28609791302 1587936.5408613118
2014-07-29_23:31:18 244969.9225593217 -50111.9529296026 1580437.4639285952
2014-08-01_16:00:49 267321.6253897669 -34071.91718695295 1573394.8603409515
2014-08-04_08:30:21 286237.25221407687 -17759.231243190472 1566341.3919920938
2014-08-07_00:59:53 301306.76071614824 -1378.1719768462647 1558647.0142251602
2014-08-09_16:08:48 312406.24686821783 14535.4018293478 1549726.0689354464
2014-08-12_07:17:43 320547.4868874428 30183.795041767342 1538903.7563502113
2014-08-14_22:26:38 326669.99821854406 45506.75755438991 1526363.9734626575
2014-08-17_12:48:29 331338.2376060668 60304.1880171393 1513084.2015109304
2014-08-20_01:12:39 334617.33508643217 74290.05786486348 1500222.84233438
2014-08-22_13:36:50 336396.9328821142 87872.18149351321 1488034.638390024
2014-08-25_02:01:01 336224.94305162085 100953.97873998461 1476985.3858250547
2014-08-27_02:29:23 334311.99558346753 111005.74280663968 1469123.9870293285
2014-08-29_14:20:45 329309.4216314583 122747.39390950328 1460695.5506039164
2014-09-01_02:25:20 320902.5666964033 133637.27180505064 1453488.699953184
2014-09-03_13:19:42 309051.74481394293 143286.83351250272 1447232.127479178
2014-09-05_22:40:26 294061.5940060635 151568.37579075573 1441321.638380765
2014-09-08_08:01:11 276044.7539017873 158659.54916903717 1434959.8683777964
2014-09-10_00:58:52 261738.85131815542 162975.60929803102 1429923.58552363
2014-09-10_00:58:59 261738.0939957414 162975.81460969086 1429923.3164828653
2014-09-12_00:30:57 244122.3408836569 167208.87785732132 1423603.3729604608
2014-09-14_07:58:25 222725.41031165537 171116.38685975634 1415921.9185887654
2014-09-16_15:25:53 200792.370906138 173925.97036726246 1408427.3993514257
2014-09-18_22:53:21 178464.7651686566 175628.71940284086 1401624.2869811067
2014-09-21_06:20:49 155712.85755936234 176197.27644178353 1395915.4414094435
2014-09-23_13:48:17 132389.0506411516 175591.79443527712 1391592.972623656
2014-09-25_21:15:45 108256.33509739258 173764.38698848875 1388818.0645316406
2014-09-28_04:43:13 83030.97584255587 170665.11383761422 1387580.6669358325
2014-09-30_12:10:41 56459.299332047856 166252.06374117694 1387663.0529738108
2014-10-02_19:38:09 28424.26035076896 160505.2770943537 1388633.4312930084
2014-10-05_01:43:02 -189.74651357882976 153633.35532681798 1389865.9854512643
2014-10-07_00:53:03 -25821.681149058506 146666.1481142161 1390720.8360221102
2014-10-09_07:53:04 -55837.77281405552 137492.92104136114 1391113.941481808
2014-10-11_15:00:25 -85257.24411522935 127297.66359509571 1390854.4760087132
2014-10-13_22:18:08 -113411.9240410544 116200.20829254019 1390275.746649837
2014-10-16_05:35:50 -139768.71560611378 104347.70576771993 1389852.109467319
2014-10-18_13:06:08 -164199.85148762024 91785.16598366293 1390040.2635201076
2014-10-20_20:53:13 -186666.91203824003 78565.33316491157 1391246.5622207501
2014-10-23_04:40:17 -207161.83924052256 64813.181755992635 1393792.2456503597
