#constelname,star1id
Cetus,12673
Cetus,14100
Cetus,13920
Cetus,12795
Cetus,11457
Cetus,12673
JUMP,JUMP
Cetus,3413
Cetus,8087
JUMP,JUMP
Fornax,14843
Fornax,13114
Fornax,9655
JUMP,JUMP
Phoenix,2076
Phoenix,2069
Phoenix,5154
Phoenix,6853
Phoenix,7068
Phoenix,5154
JUMP,JUMP
Phoenix,2069
Phoenix,5337
Phoenix,3398
JUMP,JUMP
Phoenix,2069
Phoenix,763
Phoenix,116024
Phoenix,116949
Phoenix,763
JUMP,JUMP
Camelopardalis,22987
Camelopardalis,23467
Camelopardalis,22730
Camelopardalis,17917
JUMP,JUMP
Camelopardalis,22730
Camelopardalis,29924
Camelopardalis,33607
JUMP,JUMP
Eridanus,7574
Eridanus,8989
Eridanus,10578
Eridanus,11380
Eridanus,12452
Eridanus,13813
Eridanus,19992
Eridanus,20483
Eridanus,21340
Eridanus,21195
Eridanus,18626
Eridanus,18171
Eridanus,17609
Eridanus,16570
Eridanus,15436
Eridanus,14112
Eridanus,13254
Eridanus,12810
Eridanus,13667
Eridanus,15159
Eridanus,16496
Eridanus,17336
Eridanus,17551
Eridanus,18497
Eridanus,19538
Eridanus,21391
Eridanus,22056
Eridanus,23820
JUMP,JUMP
Pegasus,676
Pegasus,113522
Pegasus,111805
Pegasus,109065
JUMP,JUMP
Pegasus,676
Pegasus,1065
Pegasus,113604
Pegasus,113522
Pegasus,112390
Pegasus,112085
Pegasus,108831
Pegasus,107012
JUMP,JUMP
Pegasus,113604
Pegasus,111677
Pegasus,109082
Pegasus,106973
JUMP,JUMP
Perseus,13234
Perseus,13497
Perseus,14292
JUMP,JUMP
Perseus,13497
Perseus,14596
Perseus,15824
JUMP,JUMP
Perseus,13234
Perseus,14292
Perseus,15824
Perseus,16294
Perseus,17487
Perseus,18485
Perseus,18567
Perseus,18201
Perseus,17406
JUMP,JUMP
Perseus,15824
Perseus,16785
Perseus,17316
Perseus,19296
Perseus,19762
Perseus,19119
JUMP,JUMP
Perseus,14596
Perseus,14632
Perseus,14540
Perseus,18485
JUMP,JUMP
Perseus,14540
Perseus,14318
Perseus,13221
JUMP,JUMP
Perseus,14596
Perseus,12744
Perseus,8053
JUMP,JUMP
Pisces,5730
Pisces,5574
Pisces,6179
Pisces,5730
Pisces,7083
Pisces,8183
Pisces,9467
Pisces,8814
Pisces,7869
Pisces,4896
Pisces,3778
Pisces,117901
Pisces,116406
Pisces,115466
Pisces,114610
Pisces,115377
Pisces,116563
Pisces,116406
JUMP,JUMP
Pisces,114610
Pisces,113530
JUMP,JUMP
Ursa Major,67089
Ursa Major,65174
Ursa Major,62758
Ursa Major,59593
Ursa Major,53905
Ursa Major,46600
Ursa Major,41586
Ursa Major,44000
Ursa Major,44343
Ursa Major,50655
Ursa Major,118743
Ursa Major,55056
Ursa Major,54380
Ursa Major,57227
Ursa Major,67089
JUMP,JUMP
Ursa Major,59593
Ursa Major,57829
Ursa Major,53754
Ursa Major,53905
JUMP,JUMP
Ursa Major,46600
Ursa Major,48182
Ursa Major,48265
Ursa Major,46720
Ursa Major,50230
Ursa Major,50655
JUMP,JUMP
Ursa Minor,11734
Ursa Minor,85561
Ursa Minor,81831
Ursa Minor,76820
Ursa Minor,79581
Ursa Minor,74869
Ursa Minor,72381
Ursa Minor,76820
JUMP,JUMP
Cepheus,116362
Cepheus,112365
Cepheus,109147
Cepheus,104862
Cepheus,105692
Cepheus,116362
JUMP,JUMP
Cepheus,105692
Cepheus,112365
JUMP,JUMP
Corona Australis,90689
Corona Australis,91590
Corona Australis,92882
Corona Australis,93531
Corona Australis,93820
Corona Australis,93866
Corona Australis,93711
Corona Australis,93249
Corona Australis,92022
Corona Australis,90701
JUMP,JUMP
Corona Borealis,75896
Corona Borealis,75467
Corona Borealis,76036
Corona Borealis,76717
Corona Borealis,77277
Corona Borealis,77924
Corona Borealis,78257
JUMP,JUMP
Crux,62240
Crux,59566
JUMP,JUMP
Crux,60894
Crux,60531
JUMP,JUMP
Corvus,59021
Corvus,59135
Corvus,59622
Corvus,60777
Corvus,61167
Corvus,59135
JUMP,JUMP
Cygnus,95649
Cygnus,97319
Cygnus,98033
Cygnus,100129
Cygnus,101768
JUMP,JUMP
Cygnus,104395
Cygnus,102158
Cygnus,100129
Cygnus,96859
Cygnus,95555
JUMP,JUMP
Draco,56045
Draco,61089
Draco,68538
Draco,75230
Draco,78291
Draco,80090
Draco,83639
Draco,89661
Draco,94353
Draco,97125
Draco,94082
Draco,87315
Draco,85568
Draco,85411
Draco,87562
Draco,87315
JUMP,JUMP
Grus,108923
Grus,111769
Grus,114060
JUMP,JUMP
Grus,113279
Grus,112264
Grus,111769
Grus,110651
Grus,109563
Grus,108766
Grus,107743
JUMP,JUMP
Hercules,84123
Hercules,81584
Hercules,81445
Hercules,82953
Hercules,84123
Hercules,84854
Hercules,87538
Hercules,86149
Hercules,79751
Hercules,78862
Hercules,80881
Hercules,86149
JUMP,JUMP
Hercules,82953
Hercules,80572
Hercules,79929
JUMP,JUMP
Hercules,82953
Hercules,86706
Hercules,85434
Hercules,84122
Hercules,84087
JUMP,JUMP
Hercules,86706
Hercules,87662
Hercules,84123
JUMP,JUMP
Hercules,87662
Hercules,88518
Hercules,88611
Hercules,89861
Hercules,91757
Hercules,91875
JUMP,JUMP
Lacerta,110676
Lacerta,110823
Lacerta,110193
Lacerta,110264
Lacerta,110676
Lacerta,111592
Lacerta,110758
Lacerta,110006
Lacerta,110676
JUMP,JUMP
Lacerta,110758
Lacerta,109592
JUMP,JUMP
Libra,73487
Libra,72397
Libra,74557
Libra,76101
Libra,76236
Libra,76366
JUMP,JUMP
Libra,76101
Libra,72397
JUMP,JUMP
Lupus,71635
Lupus,74168
Lupus,75036
Lupus,76066
Lupus,78149
Lupus,78679
Lupus,77399
Lupus,74949
Lupus,74913
Lupus,73047
Lupus,71635
Lupus,69774
JUMP,JUMP
Lyra,90980
Lyra,91685
Lyra,92503
Lyra,92903
Lyra,92134
Lyra,91685
JUMP,JUMP
Microscopium,102501
Microscopium,103407
Microscopium,104803
Microscopium,105042
Microscopium,102363
Microscopium,102501
JUMP,JUMP
Ophiucus,85770
Ophiucus,82746
Ophiucus,81131
Ophiucus,83756
Ophiucus,86476
Ophiucus,85770
JUMP,JUMP
Ophiucus,82746
Ophiucus,80638
Ophiucus,79353
Ophiucus,79641
JUMP,JUMP
Ophiucus,86476
Ophiucus,86840
Ophiucus,88019
Ophiucus,88328
Ophiucus,87921
JUMP,JUMP
Ophiucus,81131
Ophiucus,80649
Ophiucus,80328
Ophiucus,80102
Ophiucus,80730
JUMP,JUMP
Ophiucus,83756
Ophiucus,84637
Ophiucus,84712
Ophiucus,85082
JUMP,JUMP
Pavo,100426
Pavo,98925
Pavo,102065
Pavo,105520
Pavo,100426
JUMP,JUMP
Pavo,98925
Pavo,92724
Pavo,91508
Pavo,98185
Pavo,98925
JUMP,JUMP
Pavo,92724
Pavo,92320
Pavo,90516
Pavo,89820
Pavo,88590
Pavo,90516
JUMP,JUMP
Pavo,88590
Pavo,86662
JUMP,JUMP
Pisces Australis,109077
Pisces Australis,110842
Pisces Australis,112589
Pisces Australis,112887
Pisces Australis,113009
Pisces Australis,111602
Pisces Australis,109077
Pisces Australis,107266
Pisces Australis,107038
Pisces Australis,108940
Pisces Australis,109077
JUMP,JUMP
Scorpius,85437
Scorpius,85666
Scorpius,86404
Scorpius,86805
Scorpius,85966
Scorpius,83886
Scorpius,82478
Scorpius,82264
Scorpius,82145
Scorpius,81021
Scorpius,80520
Scorpius,79871
Scorpius,79135
Scorpius,78581
Scorpius,78166
JUMP,JUMP
Scorpius,79871
Scorpius,77869
Scorpius,78030
JUMP,JUMP
Serpens Cauda,76998
Serpens Cauda,77837
Serpens Cauda,77215
Serpens Cauda,76998
Serpens Cauda,76045
Serpens Cauda,76836
Serpens Cauda,77387
Serpens Cauda,77281
Serpens Cauda,79641
Serpens Cauda,80386
Serpens Cauda,84623
Serpens Cauda,85999
Serpens Cauda,86299
Serpens Cauda,87776
Serpens Cauda,89685
Serpens Cauda,88328
Serpens Cauda,87921
Serpens Cauda,88495
JUMP,JUMP
Sagittarius,93214
Sagittarius,93570
Sagittarius,92565
Sagittarius,91755
Sagittarius,93214
JUMP,JUMP
Sagittarius,91755
Sagittarius,90218
Sagittarius,89654
Sagittarius,88362
Sagittarius,89907
Sagittarius,89654
JUMP,JUMP
Sagittarius,89907
Sagittarius,93214
Sagittarius,95053
Sagittarius,94947
JUMP,JUMP
Aquila,96971
Aquila,95208
Aquila,93511
Aquila,96166
Aquila,97494
Aquila,99157
Aquila,97726
Aquila,97339
Aquila,96971
Aquila,93453
Aquila,92952
JUMP,JUMP
Aquarius,108729
Aquarius,110050
Aquarius,111148
Aquarius,110327
Aquarius,108729
Aquarius,105937
Aquarius,104123
Aquarius,102715
Aquarius,102288
JUMP,JUMP
Aquarius,105937
Aquarius,108794
JUMP,JUMP
Aquarius,108729
Aquarius,108529
Aquarius,109658
Aquarius,112602
Aquarius,114363
Aquarius,114494
Aquarius,112777
Aquarius,112358
Aquarius,112602
JUMP,JUMP
Aquarius,114671
Aquarius,115074
Aquarius,115305
Aquarius,115882
JUMP,JUMP
Aquarius,114494
Aquarius,113981
Aquarius,114014
Aquarius,113758
JUMP,JUMP
Ara,85531
Ara,85000
Ara,85009
Ara,85468
JUMP,JUMP
Ara,85000
Ara,82827
JUMP,JUMP
Ara,82899
Ara,82827
Ara,82113
JUMP,JUMP
Volans,41195
Volans,39681
Volans,37397
Volans,34389
Volans,39681
Volans,44254
Volans,41195
JUMP,JUMP
Volans,35132
Volans,39681
Volans,42306
JUMP,JUMP
Bootes,70275
Bootes,69511
Bootes,67712
Bootes,67247
JUMP,JUMP
Bootes,70852
Bootes,70829
Bootes,69452
Bootes,71570
Bootes,71880
Bootes,74439
Bootes,73328
Bootes,70852
Bootes,69511
JUMP,JUMP
Bootes,74439
Bootes,75183
JUMP,JUMP
Bootes,70829
Bootes,71059
Bootes,71880
JUMP,JUMP
Capricornus,107214
Capricornus,106643
Capricornus,105176
Capricornus,103805
Capricornus,100021
Capricornus,99744
JUMP,JUMP
Capricornus,105176
Capricornus,105699
Capricornus,105541
Capricornus,103805
JUMP,JUMP
Capricornus,103805
Capricornus,103685
Capricornus,100702
Capricornus,100021
JUMP,JUMP
Capricornus,103685
Capricornus,103900
JUMP,JUMP
Capricornus,100702
Capricornus,102155
Capricornus,102648
JUMP,JUMP
Tucana,114635
Tucana,117955
Tucana,1595
Tucana,2478
Tucana,114635
Tucana,109785
JUMP,JUMP
Tucana,110493
Tucana,114635
