#time X Y Z
2016-04-02_16:47:01 -1.3168760463247712E9 -5.227006174061723E8 -4.8980751825856835E8
2016-04-13_10:59:58 -1.3194885330851243E9 -5.2413615193153006E8 -4.8173421471635985E8
2016-04-24_05:12:56 -1.322033401089639E9 -5.255243160003657E8 -4.737389588443458E8
2016-05-04_23:25:53 -1.324555643155269E9 -5.269234242095289E8 -4.656694331129918E8
2016-05-15_17:38:51 -1.327012873255862E9 -5.2827676028203046E8 -4.5763579268195707E8
2016-05-26_11:51:49 -1.329448238439941E9 -5.296217469758779E8 -4.4954303297124696E8
2016-06-06_06:04:46 -1.3318234714321187E9 -5.309629758026238E8 -4.414220662264418E8
2016-06-17_00:17:44 -1.3341422987166488E9 -5.322609164817619E8 -4.333512839466929E8
2016-06-27_18:30:41 -1.3364373454212193E9 -5.3356974599391884E8 -4.252036552657782E8
2016-07-08_12:43:39 -1.3386659455255704E9 -5.348317157016814E8 -4.171042608128325E8
2016-07-19_06:56:37 -1.3408756512220876E9 -5.360872264752556E8 -4.089270009893711E8
2016-07-30_01:09:34 -1.3430214387036011E9 -5.373365209538704E8 -4.007406617127469E8
2016-08-09_19:22:32 -1.3451160353803322E9 -5.385447102396688E8 -3.925901863077455E8
2016-08-20_13:35:29 -1.3471860364528813E9 -5.397434481364372E8 -3.843803951207756E8
2016-08-31_07:48:27 -1.349195965510577E9 -5.409392524751325E8 -3.761460011962511E8
2016-09-11_02:01:25 -1.3511539773765736E9 -5.420926310248826E8 -3.6795643168016773E8
2016-09-21_20:14:22 -1.353079516286338E9 -5.432540025594149E8 -3.59706182342227E8
2016-10-02_14:27:20 -1.354945766643776E9 -5.443704800358324E8 -3.514920020984455E8
2016-10-13_08:40:17 -1.3567852931471488E9 -5.454764847897387E8 -3.432184618503411E8
2016-10-24_02:53:15 -1.3585644392128928E9 -5.465800318274254E8 -3.3492135401927936E8
2016-11-03_20:06:13 -1.3602907148794942E9 -5.476400179970152E8 -3.266815791346294E8
2016-11-14_14:19:10 -1.3619877145618677E9 -5.486885172035303E8 -3.183992411172435E8
2016-11-25_08:32:08 -1.3636262832033699E9 -5.497356357482463E8 -3.1007810801844484E8
2016-12-06_02:45:05 -1.3652167622772071E9 -5.507408306786375E8 -3.017963172368375E8
2016-12-16_20:58:03 -1.3667719196324654E9 -5.517536721998024E8 -2.934541693886611E8
2016-12-27_15:11:01 -1.3682700516052532E9 -5.527215244894965E8 -2.8515419159310675E8
2017-01-07_09:23:58 -1.3697400769860628E9 -5.536783362643428E8 -2.7678435667917126E8
2017-01-18_03:36:56 -1.3711474404615438E9 -5.546326266904944E8 -2.6841098526866814E8
2017-01-28_21:49:53 -1.3725075273768337E9 -5.555446115858085E8 -2.6008108140702823E8
2017-02-08_16:02:51 -1.3738366825148056E9 -5.564440294040426E8 -2.5169054033908778E8
2017-02-19_10:15:49 -1.375095811772749E9 -5.573371350201583E8 -2.4334514821177286E8
2017-03-02_04:28:46 -1.3763310895401094E9 -5.581997294859402E8 -2.349376433557654E8
2017-03-12_22:41:44 -1.3775061025857587E9 -5.590590822731255E8 -2.2651436903566876E8
2017-03-23_16:54:41 -1.3786337757351727E9 -5.598768353965229E8 -2.18151357997802E8
2017-04-03_12:07:39 -1.3797296972699952E9 -5.606816331648421E8 -2.0971363793872848E8
2017-04-14_06:20:37 -1.3807604120416074E9 -5.61482494828085E8 -2.0129988576198527E8
2017-04-25_00:33:34 -1.3817617739928486E9 -5.622499372504481E8 -1.9284553107404473E8
2017-05-05_18:46:32 -1.3827031676744263E9 -5.630146860727835E8 -1.843841943804148E8
2017-05-16_12:59:29 -1.3835978102521534E9 -5.637372642493844E8 -1.7598884312258238E8
2017-05-27_07:12:27 -1.384458879543078E9 -5.644465575016586E8 -1.6751658756968066E8
2017-06-07_01:25:25 -1.3852578506472895E9 -5.651544384126781E8 -1.5904501394222125E8
2017-06-17_19:38:22 -1.3860137534014146E9 -5.658203819057115E8 -1.5062254844265154E8
2017-06-28_13:51:20 -1.3867244041714108E9 -5.664912630116565E8 -1.421406534546664E8
2017-07-09_08:04:17 -1.3873866644480937E9 -5.671189672483981E8 -1.3370830699185462E8
2017-07-20_02:17:15 -1.388010732694114E9 -5.677321308135566E8 -1.2522081485858847E8
2017-07-30_20:30:13 -1.3885764893361328E9 -5.683438774376744E8 -1.1671634296199317E8
2017-08-10_14:43:10 -1.389098661409238E9 -5.689143143179588E8 -1.0827091706094897E8
2017-08-21_08:56:08 -1.3895821307570307E9 -5.694687331428907E8 -9.976704022781406E7
2017-09-01_03:09:05 -1.3900024316486568E9 -5.700210050249964E8 -9.131679846822765E7
2017-09-11_21:22:03 -1.3903906441560204E9 -5.705375967962219E8 -8.280606335146888E7
2017-09-22_15:35:01 -1.3907208202772307E9 -5.710530976781842E8 -7.428577544888277E7
2017-10-03_09:47:58 -1.3910092649183106E9 -5.715273178812928E8 -6.583188230494928E7
2017-10-14_04:00:56 -1.3912568567690485E9 -5.719849552777221E8 -5.730704066610254E7
2017-10-24_22:13:53 -1.391444618755943E9 -5.724433078659399E8 -4.878634943375696E7
2017-11-04_15:26:51 -1.3915931326584435E9 -5.728599246172005E8 -4.0323473085680045E7
2017-11-15_09:39:49 -1.3916977981923115E9 -5.732584615958971E8 -3.183602978624427E7
2017-11-26_03:52:46 -1.3917441936222548E9 -5.73657381529898E8 -2.3366466544131063E7
2017-12-06_22:05:44 -1.39175555513623E9 -5.74018868683818E8 -1.483210459704123E7
2017-12-17_16:18:41 -1.3917085556607687E9 -5.743794463323545E8 -6305508.630578506
2017-12-28_10:31:39 -1.3916231799808826E9 -5.746995138956475E8 2165729.33279013
2018-01-08_04:44:37 -1.3914925377599604E9 -5.750008409549938E8 1.0690861049271625E7
2018-01-18_22:57:34 -1.3913040191419096E9 -5.753044201295271E8 1.9225777954136554E7
2018-01-29_17:10:32 -1.3910786306261737E9 -5.755665444921889E8 2.7686063934144344E7
2018-02-09_11:23:29 -1.3907977308613024E9 -5.758306238593583E8 3.6221143041956544E7
2018-02-20_05:36:27 -1.390479105782267E9 -5.760544480992842E8 4.467918967262194E7
2018-03-02_23:49:25 -1.3901115252499058E9 -5.762589572590477E8 5.321038309437891E7
2018-03-13_18:02:22 -1.389688051701949E9 -5.76464065296735E8 6.17316167148796E7
2018-03-24_12:15:20 -1.3892290400499735E9 -5.76629347588268E8 7.019491061534426E7
2018-04-04_07:28:17 -1.388720487487774E9 -5.7677395473375E8 7.871786669360457E7
2018-04-15_01:41:15 -1.3881574660754235E9 -5.769212816158011E8 8.720261095391168E7
2018-04-25_19:54:13 -1.3875543676054132E9 -5.770281758710066E8 9.572234608099677E7
2018-05-06_14:07:10 -1.3868957763749754E9 -5.77135823760152E8 1.0423054925379422E8
2018-05-17_08:20:08 -1.386202932059753E9 -5.772037490841161E8 1.126795387993725E8
2018-05-28_02:33:05 -1.3854590047023857E9 -5.772501254823197E8 1.2118055039953525E8
2018-06-07_20:46:03 -1.3846589053489468E9 -5.773003058849634E8 1.2968367343966655E8
2018-06-18_14:59:01 -1.3838262403454492E9 -5.773099575854005E8 1.381104175942619E8
2018-06-29_09:11:58 -1.3829326522471538E9 -5.773200954370289E8 1.4660759559518364E8
2018-07-10_03:24:56 -1.3820081435427115E9 -5.772913851156554E8 1.5502711700491565E8
2018-07-20_21:37:53 -1.38102844316069E9 -5.772394113015158E8 1.6351161163052928E8
2018-07-31_15:50:51 -1.3799936184275558E9 -5.771918092430208E8 1.719923500117307E8
2018-08-11_10:03:49 -1.3789298012146623E9 -5.771048405665326E8 1.8039557874766964E8
2018-08-22_04:16:46 -1.3778001203706865E9 -5.770161422915369E8 1.8886200976170608E8
2018-09-01_22:29:44 -1.37664396358223E9 -5.768907039033798E8 1.9725107569207525E8
2018-09-12_16:42:41 -1.37542913166934E9 -5.767417495739772E8 2.0570659040646946E8
2018-09-23_10:55:39 -1.3741626833793437E9 -5.765958326221658E8 2.1414732323762384E8
2018-10-04_05:08:37 -1.3728659171370099E9 -5.764110540814446E8 2.2252594362606764E8
