#constelname,HIP
Auriga,23015
Auriga,25428
Auriga,28380
Auriga,28360
JUMP,JUMP
Horologium,19747
Horologium,12653
Horologium,12225
Horologium,12484
JUMP,JUMP
Caelum,23595
Caelum,21861
Caelum,21770
Caelum,21060
JUMP,JUMP
Sculptor,4577
Sculptor,117452
Sculptor,115102
Sculptor,116231
Sculptor,2210
Sculptor,4577
JUMP,JUMP
Cetus,12387
Cetus,10826
Cetus,8645
Cetus,6537
Cetus,1562
Cetus,3419
Cetus,9347
Cetus,12387
Cetus,12706
Cetus,14135
Cetus,13954
Cetus,12828
Cetus,11484
Cetus,12706
JUMP,JUMP
Cetus,3419
Cetus,8102
JUMP,JUMP
Fornax,14879
Fornax,13147
Fornax,9677
JUMP,JUMP
Phoenix,2081
Phoenix,2072
Phoenix,5165
Phoenix,6867
Phoenix,7083
Phoenix,5165
JUMP,JUMP
Phoenix,2072
Phoenix,5348
Phoenix,3405
JUMP,JUMP
Phoenix,2072
Phoenix,765
Phoenix,116389
Phoenix,117315
Phoenix,765
JUMP,JUMP
Camelopardalis,23040
Camelopardalis,23522
Camelopardalis,22783
Camelopardalis,17959
JUMP,JUMP
Camelopardalis,22783
Camelopardalis,29997
Camelopardalis,33694
JUMP,JUMP
Eridanus,7588
Eridanus,9007
Eridanus,10602
Eridanus,11407
Eridanus,12486
Eridanus,13847
Eridanus,20042
Eridanus,20535
Eridanus,21393
Eridanus,21248
Eridanus,18673
Eridanus,18216
Eridanus,17651
Eridanus,16611
Eridanus,15474
Eridanus,14146
Eridanus,13288
Eridanus,12843
Eridanus,13701
Eridanus,15197
Eridanus,16537
Eridanus,17378
Eridanus,17593
Eridanus,18543
Eridanus,19587
Eridanus,21444
Eridanus,22109
Eridanus,23875
JUMP,JUMP
Pegasus,677
Pegasus,113881
Pegasus,112158
Pegasus,109410
JUMP,JUMP
Pegasus,677
Pegasus,1067
Pegasus,113963
Pegasus,113881
Pegasus,112748
Pegasus,112440
Pegasus,109176
Pegasus,107354
JUMP,JUMP
Pegasus,113963
Pegasus,112029
Pegasus,109427
Pegasus,107315
JUMP,JUMP
Perseus,13268
Perseus,13531
Perseus,14328
JUMP,JUMP
Perseus,13531
Perseus,14632
Perseus,15863
JUMP,JUMP
Perseus,13268
Perseus,14328
Perseus,15863
Perseus,16335
Perseus,17529
Perseus,18532
Perseus,18614
Perseus,18246
Perseus,17448
JUMP,JUMP
Perseus,15863
Perseus,16826
Perseus,17358
Perseus,19343
Perseus,19812
Perseus,19167
JUMP,JUMP
Perseus,14632
Perseus,14668
Perseus,14576
Perseus,18532
JUMP,JUMP
Perseus,14576
Perseus,14354
Perseus,13254
JUMP,JUMP
Perseus,14632
Perseus,12777
Perseus,8068
JUMP,JUMP
Pisces,5742
Pisces,5586
Pisces,6193
Pisces,5742
Pisces,7097
Pisces,8198
Pisces,9487
Pisces,8833
Pisces,7884
Pisces,4906
Pisces,3786
Pisces,118268
Pisces,116771
Pisces,115830
Pisces,114971
Pisces,115738
Pisces,116928
Pisces,116771
JUMP,JUMP
Pisces,114971
Pisces,113889
JUMP,JUMP
Ursa Major,67301
Ursa Major,65378
Ursa Major,62956
Ursa Major,59774
Ursa Major,54061
Ursa Major,46733
Ursa Major,41704
Ursa Major,44127
Ursa Major,44471
Ursa Major,50801
Ursa Major,0
Ursa Major,55219
Ursa Major,54539
Ursa Major,57399
Ursa Major,67301
JUMP,JUMP
Ursa Major,59774
Ursa Major,58001
Ursa Major,53910
Ursa Major,54061
JUMP,JUMP
Ursa Major,46733
Ursa Major,48319
Ursa Major,48402
Ursa Major,46853
Ursa Major,50372
Ursa Major,50801
JUMP,JUMP
Ursa Minor,11767
Ursa Minor,85822
Ursa Minor,82080
Ursa Minor,77055
Ursa Minor,79822
Ursa Minor,75097
Ursa Minor,72607
Ursa Minor,77055
JUMP,JUMP
Cepheus,116727
Cepheus,112724
Cepheus,109492
Cepheus,105199
Cepheus,106032
Cepheus,116727
JUMP,JUMP
Cepheus,106032
Cepheus,112724
JUMP,JUMP
Chamaleon,40702
Chamaleon,51839
Chamaleon,60000
Chamaleon,52633
Chamaleon,40888
Chamaleon,40702
JUMP,JUMP
Circinus,75323
Circinus,71908
Circinus,74824
JUMP,JUMP
Coma Berenices,64241
Coma Berenices,64394
Coma Berenices,60742
JUMP,JUMP
Corona Australis,90968
Corona Australis,91875
Corona Australis,93174
Corona Australis,93825
Corona Australis,94114
Corona Australis,94160
Corona Australis,94005
Corona Australis,93542
Corona Australis,92308
Corona Australis,90982
JUMP,JUMP
Corona Borealis,76127
Corona Borealis,75695
Corona Borealis,76267
Corona Borealis,76952
Corona Borealis,77512
Corona Borealis,78159
Corona Borealis,78493
JUMP,JUMP
Crux,62434
Crux,59747
JUMP,JUMP
Crux,61084
Crux,60718
JUMP,JUMP
Corvus,59199
Corvus,59316
Corvus,59803
Corvus,60965
Corvus,61359
Corvus,59316
JUMP,JUMP
Canis Venatici,63125
Canis Venatici,61317
JUMP,JUMP
Cygnus,95947
Cygnus,97629
Cygnus,98343
Cygnus,100453
Cygnus,102098
JUMP,JUMP
Cygnus,104732
Cygnus,102488
Cygnus,100453
Cygnus,97165
Cygnus,95853
JUMP,JUMP
Delphinus,101421
Delphinus,101769
Delphinus,101958
Delphinus,102532
Delphinus,102281
Delphinus,101769
JUMP,JUMP
Draco,56211
Draco,61281
Draco,68756
Draco,75458
Draco,78527
Draco,80331
Draco,83895
Draco,89937
Draco,94648
Draco,97433
Draco,94376
Draco,87585
Draco,85829
Draco,85670
Draco,87833
Draco,87585
JUMP,JUMP
Equuleus,104987
Equuleus,104858
Equuleus,104521
JUMP,JUMP
Grus,109268
Grus,112122
Grus,114421
JUMP,JUMP
Grus,113638
Grus,112623
Grus,112122
Grus,110997
Grus,109908
Grus,109111
Grus,108085
JUMP,JUMP
Hercules,84380
Hercules,81833
Hercules,81693
Hercules,83207
Hercules,84380
Hercules,85112
Hercules,87808
Hercules,86414
Hercules,79992
Hercules,79101
Hercules,81126
Hercules,86414
JUMP,JUMP
Hercules,83207
Hercules,80816
Hercules,80170
JUMP,JUMP
Hercules,83207
Hercules,86974
Hercules,85693
Hercules,84379
Hercules,84345
JUMP,JUMP
Hercules,86974
Hercules,87933
Hercules,84380
