HIP67927	2.68	208.67131750	+18.39858742	
HIP73273	2.68	224.63314193	-43.13386699	
HIP61585	2.69	189.29618208	-69.13553358	
HIP52727	2.69	161.69217542	-49.42012517	
HIP23015	2.69	074.24840098	+33.16613537	
HIP85696	2.70	262.69099501	-37.29574016	
HIP35264	2.71	109.28568399	-37.09748689	
HIP97278	2.72	296.56487567	+10.61326869	
HIP89931	2.72	275.24842337	-29.82803914	
HIP80331	2.73	245.99794523	+61.51407536	
HIP79593	2.73	243.58652601	-03.69397562	
HIP61941	2.74	190.41667557	-01.44952231	
HIP52419	2.74	160.73927802	-64.39447937	
HIP26241	2.75	083.85825475	-05.90989984	
HIP65109	2.75	200.15027321	-36.71208109	
HIP72622	2.75	222.71990536	-16.04161047	
HIP86742	2.76	265.86823714	+04.56691684	
HIP84345	2.78	258.66192687	+14.39025314	Rasalgethi
HIP23875	2.78	076.96264146	-05.08626282	
HIP80816	2.78	247.55525697	+21.48964850	
HIP85670	2.79	262.60823708	+52.30135901	
HIP59747	2.79	183.78648733	-58.74890179	
HIP76297	2.80	233.78525156	-41.16669497	
HIP81693	2.81	250.32282132	+31.60188695	
HIP25606	2.81	082.06135971	-20.75923214	
HIP2021	2.82	006.41334183	-77.25503511	
HIP81266	2.82	248.97066423	-28.21596156	
HIP90496	2.82	276.99278955	-25.42124732	
HIP1067	2.83	003.30895828	+15.18361593	Algenib
HIP77952	2.83	238.78670013	-63.42974973	
HIP39757	2.83	121.88625899	-24.30443677	
HIP85258	2.84	261.32498828	-55.52982397	
HIP85792	2.84	262.96050661	-49.87598159	
HIP18246	2.84	058.53299363	+31.88365776	
HIP63608	2.85	195.54483557	+10.95910186	
HIP107556	2.85	326.75952199	-16.12656595	
HIP17702	2.85	056.87110065	+24.10524193	
HIP9236	2.86	029.69113269	-61.56992444	
HIP97165	2.86	296.24350878	+45.13069195	
HIP110130	2.87	334.62574257	-60.25949486	
HIP30343	2.87	095.73996302	+22.51385027	
HIP74946	2.87	229.72787007	-68.67946723	
HIP94141	2.88	287.44097404	-21.02352534	
HIP13847	2.88	044.56548180	-40.30473491	Acamar
HIP36188	2.89	111.78780121	+08.28940893	
HIP63125	2.89	194.00767051	+38.31824617	
HIP78265	2.89	239.71300283	-26.11404280	
HIP106278	2.90	322.88966951	-05.57115593	
HIP80112	2.90	245.29717718	-25.59275259	
HIP18532	2.90	059.46342138	+40.01027315	
HIP14328	2.91	046.19912598	+53.50645031	
HIP48002	2.92	146.77557340	-65.07201888	
HIP112158	2.93	340.75053573	+30.22130866	
HIP60965	2.94	187.46659650	-16.51509397	
HIP32768	2.94	102.48390349	-50.61439973	
HIP109074	2.95	331.44593869	-00.31982656	
HIP18543	2.97	059.50720862	-13.50824471	
HIP47908	2.97	146.46292670	+23.77427792	
HIP26451	2.97	084.41118447	+21.14259299	
HIP88635	2.98	271.45218586	-30.42365007	
HIP93747	2.99	286.35255180	+13.86370983	
HIP87073	2.99	266.89617137	-40.12698197	
HIP64962	2.99	199.73022240	-23.17141246	
HIP82514	3.00	252.96766195	-38.04732717	
HIP108085	3.00	328.48189202	-37.36482290	
HIP10064	3.00	032.38550383	+34.98739204	
HIP75097	3.00	230.18228840	+71.83397308	
HIP54539	3.00	167.41608092	+44.49855337	
HIP17358	3.01	055.73117540	+47.78765330	
HIP30122	3.02	095.07827982	-30.06337656	
HIP33977	3.02	105.75613986	-23.83330131	
HIP59316	3.02	182.53135773	-22.61979211	
HIP23416	3.03	075.49222507	+43.82331397	
HIP62322	3.04	191.57029013	-68.10809405	
HIP71075	3.04	218.01982421	+38.30788348	
HIP95947	3.05	292.68035529	+27.95969480	Albireo
HIP100345	3.05	305.25269347	-14.78140119	
HIP32246	3.06	100.98304088	+25.13115531	
HIP50801	3.06	155.58251355	+41.49943350	
HIP94376	3.07	288.13814581	+67.66131695	
HIP89642	3.10	274.40720490	-36.76128103	
HIP52943	3.11	162.40596699	-16.19413208	
HIP43813	3.11	133.84868687	+05.94552770	
HIP56561	3.11	173.94553448	-63.01982488	
HIP101772	3.11	309.39162365	-47.29166239	
HIP83081	3.12	254.65512817	-55.99005508	
HIP84379	3.12	258.75801735	+24.83958739	
HIP27628	3.12	087.73980340	-35.76929225	
HIP44127	3.12	134.80349479	+48.04234956	
HIP73334	3.13	224.79041254	-42.10414199	
HIP45860	3.14	140.26441169	+34.39252592	
HIP46701	3.16	142.80564072	-57.03439160	
HIP84380	3.16	258.76189282	+36.80915527	
HIP46853	3.17	143.21802191	+51.67860208	
HIP83895	3.17	257.19677111	+65.71463676	
HIP31685	3.17	099.44029869	-43.19592394	
HIP92041	3.17	281.41397083	-26.99077940	
HIP23767	3.18	076.62862102	+41.23464074	
HIP71908	3.18	220.62785433	-64.97456957	
HIP83000	3.19	254.41779418	+09.37505626	
HIP22449	3.19	072.45890935	+06.96124744	
HIP87261	3.19	267.46438020	-37.04337105	
HIP23685	3.19	076.36521705	-22.37085673	
HIP104732	3.21	318.23408977	+30.22708128	
HIP116727	3.21	354.83742516	+77.63196681	
HIP75141	3.22	230.34306833	-40.64745946	
HIP79882	3.23	244.58016994	-04.69260809	
HIP89962	3.23	275.32883578	-02.89712200	
HIP106032	3.23	322.16489595	+70.56069481	
HIP99473	3.24	302.82610327	-00.82147569	
HIP32607	3.24	102.04807134	-61.94197988	
HIP73714	3.25	226.01775793	-25.28185602	
HIP36377	3.25	112.30782630	-43.30189129	
HIP93194	3.25	284.73593568	+32.68955312	
HIP68895	3.25	211.59278733	-26.68201883	
HIP17678	3.26	056.80929799	-74.23924251	
HIP3092	3.27	009.83165567	+30.86122579	
HIP84970	3.27	260.50243371	-24.99948797	
HIP113136	3.27	343.66266350	-15.82075994	
HIP24305	3.29	078.23280460	-16.20542901	
HIP75458	3.29	231.23243370	+58.96602354	
HIP50099	3.29	153.43449551	-70.03792169	
HIP51576	3.30	158.00618250	-61.68536031	
HIP21281	3.30	068.49882684	-55.04500559	
HIP29655	3.31	093.71956952	+22.50682376	
HIP85267	3.31	261.34858274	-56.37768824	
HIP88048	3.32	269.75665662	-09.77334973	
HIP59774	3.32	183.85603795	+57.03259792	
HIP93864	3.32	286.73517629	-27.66981416	
HIP14354	3.32	046.29373754	+38.84053298	
HIP84143	3.32	258.03823300	-43.23849039	
HIP5165	3.32	016.52127713	-46.71849042	
HIP54879	3.33	168.56017036	+15.42976310	
HIP19780	3.33	063.60596306	-62.47397888	
HIP38170	3.34	117.32357809	-24.85978401	
HIP41704	3.35	127.56679232	+60.71843110	
HIP32362	3.35	101.32263980	+12.89605513	
HIP25281	3.35	081.11923774	-02.39713844	
HIP8886	3.35	028.59868107	+63.67014686	
HIP95501	3.36	291.37396941	+03.11457923	
HIP75264	3.37	230.67036465	-44.68957314	
HIP43109	3.38	131.69435930	+06.41890691	
HIP66249	3.38	203.67397800	-00.59593821	
HIP109492	3.39	332.71359131	+58.20124992	
HIP50371	3.39	154.27085535	-61.33231977	
HIP26207	3.39	083.78449043	+09.93416294	
HIP63090	3.39	193.90201366	+03.39759862	
HIP20894	3.40	067.16531219	+15.87094680	
HIP74395	3.41	228.07167982	-52.09907465	
HIP18724	3.41	060.17008591	+12.49037571	
HIP112029	3.41	340.36531181	+10.83139111	
HIP67464	3.41	207.37623920	-41.68765971	
HIP102422	3.41	311.32195263	+61.83679404	
HIP6867	3.41	022.09142360	-43.31772906	
HIP102395	3.42	311.23981530	-66.20323826	
HIP8796	3.42	028.27041595	+29.57939727	
HIP86974	3.42	266.61549553	+27.72249917	
HIP78384	3.42	240.03058543	-38.39664079	
HIP93805	3.43	286.56229139	-04.88233456	
HIP50335	3.43	154.17251805	+23.41732840	
HIP45080	3.43	137.74210535	-58.96693014	
HIP50372	3.45	154.27469564	+42.91446855	
HIP5364	3.46	017.14693197	-10.18192800	
HIP38827	3.46	119.19475729	-52.98240062	
HIP74666	3.46	228.87543241	+33.31510222	
HIP3821	3.46	012.27125262	+57.81654770	
HIP12706	3.47	040.82551897	+03.23617162	
HIP67472	3.47	207.40419934	-42.47368506	
HIP49583	3.48	151.83313948	+16.76266572	
HIP81833	3.48	250.72391068	+38.92246103	
HIP55219	3.49	169.61981385	+33.09423881	
HIP112623	3.49	342.13832136	-51.31670354	
HIP90422	3.49	276.74345947	-45.96832919	
HIP8102	3.49	026.02136441	-15.93955597	
HIP73555	3.49	225.48663804	+40.39063671	
HIP33856	3.49	105.42979876	-27.93484165	
HIP35550	3.50	110.03078890	+21.98233941	
HIP32759	3.50	102.46027285	-32.50848752	
HIP112724	3.50	342.42046735	+66.20071089	
HIP112748	3.51	342.50041810	+24.60168486	
HIP98337	3.51	299.68911516	+19.49209287	
HIP17378	3.52	055.81231706	-09.76519868	
HIP48774	3.52	149.21564520	-54.56779730	
HIP47508	3.52	145.28799116	+09.89239902	
HIP93085	3.52	284.43241556	-21.10662433	
HIP92420	3.52	282.51997462	+33.36267788	
HIP109427	3.52	332.54924902	+06.19778900	
HIP40526	3.53	124.12895101	+09.18566295	
HIP20889	3.53	067.15388879	+19.18052092	
HIP77516	3.54	237.40527375	-03.43014112	
HIP56343	3.54	173.25107936	-31.85752405	
HIP86263	3.54	264.39677181	-15.39840835	
HIP27288	3.55	086.73895728	-14.82194717	
HIP99240	3.55	302.17441713	-66.17932101	
HIP69996	3.55	214.85096972	-46.05808391	
HIP20042	3.55	064.47341068	-33.79833145	
HIP89937	3.55	275.25974572	+72.73369763	
HIP1562	3.56	004.85701265	-08.82382948	
HIP10602	3.56	034.12708452	-51.51211145	
HIP55282	3.56	169.83551103	-14.77904358	
HIP82545	3.56	253.08397295	-38.01747781	
HIP71053	3.57	217.95774098	+30.37114497	
HIP44471	3.57	135.90649494	+47.15665934	
HIP75177	3.57	230.45181856	-36.26116729	
