#time X Y Z
2014-10-10_06:45:51 -1.0440407382925492E7 2095368.1162988034 -1.0724053087227924E8
2014-10-12_02:28:17 -1.5446681215805043E7 -191372.01881143916 -1.0668572989665376E8
2014-10-13_22:10:44 -2.041239592709818E7 -2477656.804922647 -1.0585115136093283E8
2014-10-15_17:53:10 -2.532506717041797E7 -4756532.67742439 -1.0473915470226017E8
2014-10-17_13:35:36 -3.017093605666043E7 -7023825.7780078575 -1.0335278962635499E8
2014-10-19_09:18:03 -3.4937754245673835E7 -9272741.32845838 -1.0169642191687943E8
2014-10-21_05:00:29 -3.961351124464791E7 -1.1497558417717386E7 -9.977424565055157E7
2014-10-23_00:42:55 -4.4185796183111064E7 -1.3692396998294199E7 -9.759163423214443E7
2014-10-24_20:25:22 -4.864344527009381E7 -1.5850082421234075E7 -9.51544539023729E7
2014-10-26_15:07:48 -5.297358130458467E7 -1.7967835527169473E7 -9.246924263106816E7
2014-10-28_10:50:14 -5.7071715500871286E7 -1.999218662988282E7 -8.96131437714635E7
2014-10-30_06:32:41 -6.1119050775606796E7 -2.2012462262599576E7 -8.645988502796966E7
2014-11-01_02:15:07 -6.500836707773323E7 -2.3973817530410603E7 -8.30819900273107E7
2014-11-02_21:57:33 -6.872809158465838E7 -2.587463233238055E7 -7.948839863786922E7
2014-11-04_17:40:00 -7.226985438828948E7 -2.7708492153276153E7 -7.568896021257165E7
2014-11-06_13:22:26 -7.562448482313375E7 -2.9470627511649754E7 -7.169352631338926E7
2014-11-08_09:04:52 -7.878347739050531E7 -3.115655685284572E7 -6.751265169810537E7
2014-11-10_04:47:19 -8.173972567084534E7 -3.2759902234026574E7 -6.315731200402535E7
2014-11-12_00:29:45 -8.448401343534759E7 -3.428069699181752E7 -5.863865286446409E7
2014-11-13_20:12:11 -8.701053016110107E7 -3.5713146472822346E7 -5.396908284378497E7
2014-11-15_15:54:38 -8.931287234985127E7 -3.705360294698158E7 -4.9160470951555975E7
2014-11-17_11:37:04 -9.138535844271754E7 -3.829871095557753E7 -4.422526784958403E7
2014-11-19_07:19:31 -9.322377280890983E7 -3.944309665698842E7 -3.917640231461381E7
2014-11-21_03:01:57 -9.48216407676393E7 -4.048833250988537E7 -3.402649681255125E7
2014-11-22_22:44:23 -9.617623713377541E7 -4.142969591350801E7 -2.878964941812702E7
2014-11-24_18:26:50 -9.728468532993357E7 -4.226369612206482E7 -2.3478939478976343E7
2014-11-26_14:09:16 -9.814386910983671E7 -4.298939738893674E7 -1.8108073603416696E7
2014-11-28_09:51:42 -9.875108971122897E7 -4.3606088740096144E7 -1.2690858170360385E7
2014-11-30_05:34:09 -9.910591881233375E7 -4.4111311161375396E7 -7240788.434367998
2014-12-02_01:16:35 -9.920735944207957E7 -4.4503759158918515E7 -1772578.3794564167
2014-12-03_20:59:01 -9.905538267867802E7 -4.478249947895004E7 3700152.4244809737
2014-12-05_16:41:28 -9.865152572358623E7 -4.4944763984365724E7 9163408.774345733
2014-12-07_12:23:54 -9.799485793613175E7 -4.499447740248571E7 1.460332601213435E7
2014-12-09_08:06:20 -9.708843391540278E7 -4.49294785865842E7 2.0006433559309103E7
2014-12-11_03:48:47 -9.593466350027734E7 -4.475000909492408E7 2.5358099110029522E7
2014-12-12_23:31:13 -9.453655368721925E7 -4.445652200762768E7 3.0645227646945585E7
2014-12-14_19:13:39 -9.289868162215011E7 -4.4047957164532505E7 3.585430821907547E7
2014-12-16_14:56:06 -9.10232434991339E7 -4.352909758383226E7 4.097259811464841E7
2014-12-18_10:38:32 -8.891651235125251E7 -4.289958869115614E7 4.598622367697233E7
2014-12-20_06:20:58 -8.658368210159104E7 -4.2160973638087675E7 5.08828737005175E7
2014-12-22_02:03:25 -8.403074687390593E7 -4.1315127333920896E7 5.5650161398776695E7
2014-12-23_21:45:51 -8.12649169876197E7 -4.036269003867016E7 6.0276044497280635E7
2014-12-25_17:28:17 -7.82915700803813E7 -3.930913665969729E7 6.474915129338225E7
2014-12-27_13:10:44 -7.511957405075672E7 -3.815578081894296E7 6.90572632290654E7
2014-12-29_08:53:10 -7.1756704865216E7 -3.690543837858928E7 7.318992107561119E7
2014-12-31_04:35:36 -6.821210037637195E7 -3.556011019169291E7 7.71366397504721E7
2015-01-02_00:18:03 -6.449359696649528E7 -3.4125661923698634E7 8.088733266724645E7
2015-01-03_20:00:29 -6.061080708096947E7 -3.2604261964734763E7 8.443281769386664E7
2015-01-05_15:42:55 -5.657437569704146E7 -3.1000123415287986E7 8.77633253373774E7
2015-01-07_11:25:22 -5.239416712782479E7 -2.9317142990201283E7 9.087071532127486E7
2015-01-09_07:07:48 -4.80810148101208E7 -2.7558892104987685E7 9.374711583390889E7
2015-01-11_02:50:14 -4.364489776149681E7 -2.5731124198529094E7 9.638533330505675E7
2015-01-12_22:32:41 -3.9098112127063274E7 -2.3837991666681442E7 9.877798384936528E7
2015-01-14_18:15:07 -3.44517996553065E7 -2.18841178319801E7 1.0091922577020591E8
2015-01-16_13:57:33 -2.9717837557586104E7 -1.987450315423142E7 1.028034550343379E8
2015-01-18_09:40:00 -2.490819887263463E7 -1.7814084772880882E7 1.0442579243139741E8
2015-01-20_05:22:26 -2.003461157107664E7 -1.5708273414598476E7 1.057821947422131E8
2015-01-22_01:04:52 -1.5110330768872399E7 -1.3562506619982574E7 1.068685233023178E8
2015-01-23_20:47:19 -1.0147543351981306E7 -1.138208146552748E7 1.0768211341950308E8
2015-01-25_16:29:45 -5158630.427154044 -9172886.839589743 1.0822069483993942E8
2015-01-27_12:12:11 -156704.80851744907 -6939967.351413751 1.0848293347616586E8
2015-01-29_07:54:38 4845918.978826439 -4689117.383843704 1.084675338317125E8
2015-01-31_03:37:04 9835826.104984265 -2426329.916644042 1.0817451375624119E8
2015-02-01_23:19:31 1.4800473000486981E7 -157321.63439142797 1.0760441741530603E8
2015-02-03_19:01:57 1.9727600391402856E7 2111246.348475173 1.067584081158305E8
2015-02-05_14:44:23 2.460374887792338E7 4375253.862503253 1.056387794686726E8
2015-02-07_10:26:50 2.94168924125682E7 6628150.076639939 1.042475540156483E8
2015-02-09_06:09:16 3.415418919432176E7 8863976.037504941 1.0258841906044999E8
2015-02-11_01:51:42 3.880356405971915E7 1.1077003095931033E7 1.0066535281156138E8
2015-02-12_21:34:09 4.335357667119335E7 1.326015138649904E7 9.848297203041159E7
2015-02-14_17:16:35 4.779153286685452E7 1.541055839497271E7 9.604694686364482E7
2015-02-16_12:59:01 5.2105885810551055E7 1.7521135145328924E7 9.336291867494184E7
2015-02-18_08:41:28 5.628563098252443E7 1.9586502303491067E7 9.043773445414545E7
2015-02-20_04:23:54 6.032057935807231E7 2.1599513533047568E7 8.727862623479794E7
2015-02-22_00:06:20 6.4198838286590666E7 2.355837918092306E7 8.38939187087415E7
2015-02-23_19:48:47 6.791060319219284E7 2.5456171627348654E7 8.02916135070992E7
2015-02-25_15:31:13 7.14462235922342E7 2.728796861546603E7 7.648105653394172E7
2015-02-27_11:13:39 7.479632420535067E7 2.9048944441540502E7 7.247193873784801E7
2015-03-01_06:56:06 7.795285421072355E7 3.0732379968520503E7 6.827444316878387E7
2015-03-03_02:38:32 8.090597530287798E7 3.2337978636179652E7 6.389949548402342E7
2015-03-04_22:20:58 8.36481077061845E7 3.385926149271647E7 5.935808363285432E7
2015-03-06_18:03:25 8.617222160469604E7 3.529231475536313E7 5.46618540987618E7
2015-03-08_13:45:51 8.847149399481416E7 3.663329805117022E7 4.982292184869559E7
2015-03-08_13:45:52 9.304559805424494E7 3.945824788167334E7 3.7678233973469615E7
